"id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","prediction_prob","prediction_class"
526,"Fresno europeo","08/03/2012 18:13","Muy bajo (1 - 2 mts)",3,"Chico",-68.8211496244,-32.8686195582,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.465646494878456,0
39098,"Fresno europeo","23/12/2010 11:00","Medio (4 - 8 mts)",50,"Mediano",-68.8540049278,-32.8713038584,6,"Residencial Norte",2694682.37982,0,0.148988822009414,0
31192,"Paraiso sombrilla","07/02/2011 09:16","Medio (4 - 8 mts)",80,"Grande",-68.853598969,-32.8636581641,6,"Residencial Norte",2694682.37982,0,0.687314901035279,1
24925,"Morera","10/02/2011 08:50","Alto (> 8 mts)",146,"Grande",-68.8382890104,-32.8973927578,2,"Barrio Civico",2366816.36021,0,0.0907393593806773,0
42474,"Perenne","30/09/2011 14:58","Medio (4 - 8 mts)",70,"Grande",-68.8315093422,-32.8764719516,4,"Cuarta Este Área Fundacional",1822015.85685,1,0.241102123633027,0
29502,"Morera","18/02/2011 11:17","Alto (> 8 mts)",118,"Grande",-68.8450005581,-32.8921043646,2,"Barrio Civico",2366816.36021,1,0.309399652527645,0
39247,"Morera","28/12/2010 09:54","Alto (> 8 mts)",110,"Grande",-68.8550458965,-32.8720065872,6,"Residencial Norte",2694682.37982,0,0.434985600411892,0
42219,"Morera","02/05/2011 09:50","Alto (> 8 mts)",190,"Grande",-68.8396005504,-32.8739640686,4,"Cuarta Oeste",1173332.70145,0,0.729375339113176,1
45062,"Fresno europeo","31/08/2011 12:31","Alto (> 8 mts)",130,"Grande",-68.822942073,-32.8711724972,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.103615415515378,0
14976,"Paraiso","21/12/2011 16:23","Bajo (2 - 4 mts)",60,"Mediano",-68.880672676,-32.8715596361,8,"Aeroparque",2203364.73622,0,0.761441148119047,1
45169,"Fresno europeo","31/08/2011 13:52","Medio (4 - 8 mts)",123,"Grande",-68.8232000603,-32.8709314787,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.162900879280642,0
31749,"Pltano","28/06/2011 12:04","Alto (> 8 mts)",150,"Grande",-68.8580993657,-32.8895013718,5,"Residencial Sur",2423808.92355,0,0.672717195935547,1
27665,"Fresno europeo","28/10/2011 11:37","Alto (> 8 mts)",105,"Grande",-68.8367098039,-32.8950786809,2,"Barrio Civico",2366816.36021,0,0.911633665440604,1
34381,"Morera","28/03/2011 10:05","Medio (4 - 8 mts)",80,"Grande",-68.8512242869,-32.8749735898,6,"Residencial Norte",2694682.37982,0,0.20131303044036,0
24416,"Morera","21/01/2011 09:06","Alto (> 8 mts)",120,"Grande",-68.8454564709,-32.9036448287,2,"Barrio Civico",2366816.36021,0,0.589062412967905,1
19325,"Morera","19/07/2011 14:00","Alto (> 8 mts)",190,"Grande",-68.8357205649,-32.8710229375,4,"Cuarta Oeste",1173332.70145,0,0.482455535791814,0
2308,"Morera","04/11/2011 10:46","Bajo (2 - 4 mts)",35,"Mediano",-68.8396881279,-32.892925966,2,"Barrio Civico",2366816.36021,0,0.612779054092243,1
43087,"Morera","03/10/2011 09:18","Medio (4 - 8 mts)",160,"Grande",-68.8309133683,-32.8779537113,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.803625073516741,1
17881,"Morera","01/08/2011 10:46","Alto (> 8 mts)",176,"Grande",-68.8369524702,-32.8676196611,4,"Cuarta Oeste",1173332.70145,0,0.553303961176425,1
24552,"Morera","27/01/2011 10:20","Alto (> 8 mts)",115,"Grande",-68.8435206893,-32.9019933451,2,"Barrio Civico",2366816.36021,0,0.553098436444998,1
37335,"Morera","17/03/2011 09:25","Alto (> 8 mts)",170,"Grande",-68.8574738321,-32.8751070571,6,"Residencial Norte",2694682.37982,0,0.916086731711403,1
39826,"Morera","29/04/2011 10:16","Alto (> 8 mts)",95,"Grande",-68.8468252826,-32.8827629203,1,"Parque Central",1655357.93265,1,0.578357631107792,1
8237,"Morera","28/02/2011 18:27","Medio (4 - 8 mts)",42,"Mediano",-68.843257399,-32.8932409331,2,"Barrio Civico",2366816.36021,1,0.309481365140527,0
4092,"Fresno europeo","30/09/2011 12:53","Bajo (2 - 4 mts)",30,"Mediano",-68.8295602037,-32.8778840602,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.639031239552423,1
1947,"Acacia SP","18/11/2011 17:01","Muy bajo (1 - 2 mts)",8,"Chico",-68.859195367,-32.8706653808,6,"Residencial Norte",2694682.37982,0,0.765199715737253,1
23327,"Tipa","28/01/2011 14:10","Medio (4 - 8 mts)",78,"Grande",-68.8501874307,-32.9016934033,2,"Barrio Civico",2366816.36021,0,0.575320632429793,1
12537,"Morera","10/01/2011 14:05","Alto (> 8 mts)",220,"Grande",-68.8442360246,-32.8626240831,4,"Cuarta Oeste",1173332.70145,0,0.409738201415166,0
34568,"Fresno europeo","30/03/2011 13:05","Bajo (2 - 4 mts)",60,"Mediano",-68.848368919,-32.875381622,6,"Residencial Norte",2694682.37982,0,0.447989950189367,0
6302,"Morera","27/06/2011 11:40","Alto (> 8 mts)",100,"Grande",-68.8588901551,-32.8903024261,5,"Residencial Sur",2423808.92355,0,0.944019152317196,1
46695,"Morera","05/09/2011 10:23","Bajo (2 - 4 mts)",7,"Chico",-68.8326182178,-32.8697673014,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.299658826552331,0
11573,"Paraiso","10/05/2010 11:50","Medio (4 - 8 mts)",145,"Grande",-68.8518342941,-32.8671725365,6,"Residencial Norte",2694682.37982,0,0.583502956666052,1
23755,"Fresno americano","25/01/2011 10:35","Medio (4 - 8 mts)",36,"Mediano",-68.8492719241,-32.9001279609,2,"Barrio Civico",2366816.36021,0,0.131107143126428,0
38147,"Fresno europeo","21/10/2010 10:44","Bajo (2 - 4 mts)",30,"Mediano",-68.8461973046,-32.8702083125,6,"Residencial Norte",2694682.37982,0,0.779969315743074,1
41669,"Fresno europeo","26/04/2011 10:04","Medio (4 - 8 mts)",60,"Mediano",-68.8372696199,-32.8770784829,1,"Parque Central",1655357.93265,0,0.429608901729807,0
22998,"Paraiso","17/06/2011 17:21","Alto (> 8 mts)",98,"Grande",-68.8570814211,-32.8997637412,5,"Residencial Sur",2423808.92355,0,0.798310077982023,1
14325,"Paraiso sombrilla","01/12/2011 12:33","Bajo (2 - 4 mts)",80,"Grande",-68.8783864555,-32.8670548182,8,"Aeroparque",2203364.73622,0,0.607680960558355,1
2716,"Fresno americano","12/10/2011 14:18","Alto (> 8 mts)",100,"Grande",-68.8316019716,-32.8826279711,3,"Parque O'Higgins",1531146.02653,1,0.649645850760862,1
17717,"Paraiso","18/07/2011 09:24","Medio (4 - 8 mts)",120,"Grande",-68.8424557796,-32.8675020984,4,"Cuarta Oeste",1173332.70145,0,0.142550541320816,0
26750,"Morera","11/01/2012 12:30","Alto (> 8 mts)",130,"Grande",-68.8346684662,-32.8951348844,3,"Parque O'Higgins",1531146.02653,0,0.661682146601379,1
48048,"Morera","27/09/2011 11:46","Alto (> 8 mts)",160,"Grande",-68.8255305218,-32.8665333105,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.716544128255919,1
38333,"Morera","10/11/2010 09:44","Alto (> 8 mts)",185,"Grande",-68.8534607012,-32.8690530433,6,"Residencial Norte",2694682.37982,0,0.519444381585345,1
14359,"Fresno europeo","01/12/2011 13:16","Bajo (2 - 4 mts)",32,"Mediano",-68.8778218303,-32.8658172979,8,"Aeroparque",2203364.73622,0,0.616119192447513,1
37442,"lamo blanco","05/01/2011 12:22","Alto (> 8 mts)",133,"Grande",-68.8579555657,-32.8711794491,6,"Residencial Norte",2694682.37982,0,0.932103589177132,1
41975,"Fresno europeo","20/04/2011 14:10","Alto (> 8 mts)",180,"Grande",-68.8377773244,-32.8795759919,1,"Parque Central",1655357.93265,0,0.833502046996728,1
36275,"Pltano","17/03/2011 09:45","Alto (> 8 mts)",180,"Grande",-68.8540158495,-32.8776141057,6,"Residencial Norte",2694682.37982,0,0.500014885794371,1
44722,"Morera","26/08/2011 13:25","Alto (> 8 mts)",180,"Grande",-68.8238132166,-32.8680056665,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.16091655800119,0
32180,"Morera","11/05/2011 09:22","Medio (4 - 8 mts)",200,"Grande",-68.8583031486,-32.885931188,5,"Residencial Sur",2423808.92355,0,0.715755848912522,1
14832,"Morera","07/12/2011 10:12","Bajo (2 - 4 mts)",50,"Mediano",-68.8782769259,-32.86940746,8,"Aeroparque",2203364.73622,0,0.24537081993185,0
20473,"Jacarand","02/06/2011 13:14","Alto (> 8 mts)",112,"Grande",-68.8599996447,-32.8969633899,5,"Residencial Sur",2423808.92355,0,0.831719195703045,1
26316,"Pltano","21/10/2011 08:39","Alto (> 8 mts)",145,"Grande",-68.8315625181,-32.8897282914,3,"Parque O'Higgins",1531146.02653,0,0.649322953075171,1
13559,"Fresno europeo","28/01/2011 09:59","Medio (4 - 8 mts)",180,"Grande",-68.8505614226,-32.8639440476,6,"Residencial Norte",2694682.37982,0,0.395858164178208,0
41619,"Fresno americano","03/05/2011 12:13","Alto (> 8 mts)",122,"Grande",-68.836703981,-32.8762953925,1,"Parque Central",1655357.93265,0,0.989618839463219,1
15928,"Fresno americano","24/11/2011 12:06","Muy bajo (1 - 2 mts)",18,"Chico",-68.8735069898,-32.8770798713,7,"Residencial Parque",1786336.08966,0,0.303842198569328,0
40404,"Pltano","12/04/2011 10:34","Alto (> 8 mts)",190,"Grande",-68.8450357063,-32.8828688035,1,"Parque Central",1655357.93265,0,0.949583557900041,1
6032,"Ligustro","20/04/2011 10:25","Bajo (2 - 4 mts)",180,"Grande",-68.848867315,-32.8861964523,1,"Parque Central",1655357.93265,0,0.213629726553336,0
2929,"Morera","21/09/2011 08:54","Alto (> 8 mts)",76,"Grande",-68.8292180938,-32.8736408569,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.944035732420161,1
17967,"Morera","01/08/2011 09:40","Medio (4 - 8 mts)",200,"Grande",-68.8396781425,-32.8672196358,4,"Cuarta Oeste",1173332.70145,1,0.521036780672148,1
16715,"Paraiso","21/07/2011 14:16","Alto (> 8 mts)",190,"Grande",-68.8403181722,-32.8630583598,4,"Cuarta Oeste",1173332.70145,0,0.645433359080926,1
31673,"Fresno europeo","14/06/2011 10:22","Alto (> 8 mts)",127,"Grande",-68.8589198375,-32.8887045128,5,"Residencial Sur",2423808.92355,0,0.971267599146813,1
15131,"Acacia SP","18/11/2011 08:47","Muy bajo (1 - 2 mts)",5,"Chico",-68.8591449036,-32.8696553205,6,"Residencial Norte",2694682.37982,0,0.858622966567054,1
46350,"Morera","19/09/2011 14:10","Alto (> 8 mts)",164,"Grande",-68.8261097181,-32.8741466688,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.211663651745766,0
15188,"Paraiso","17/11/2011 13:32","Bajo (2 - 4 mts)",60,"Mediano",-68.860109819,-32.8689448092,6,"Residencial Norte",2694682.37982,0,0.819636972388253,1
9789,"Paraiso","18/01/2011 08:17","Medio (4 - 8 mts)",140,"Grande",-68.8469907952,-32.8631581231,4,"Cuarta Oeste",1173332.70145,0,0.462625809712335,0
25635,"Morera","15/02/2011 14:57","Alto (> 8 mts)",58,"Mediano",-68.8374103279,-32.9009791646,2,"Barrio Civico",2366816.36021,0,0.139670190401375,0
3255,"Prunas","28/09/2011 11:14","Bajo (2 - 4 mts)",15,"Chico",-68.8226999102,-32.8727346164,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.379925323883072,0
26383,"Pltano","25/10/2011 09:55","Alto (> 8 mts)",170,"Grande",-68.8334276638,-32.889939193,3,"Parque O'Higgins",1531146.02653,0,0.470033423043787,0
40731,"Morera","15/04/2011 12:30","Alto (> 8 mts)",200,"Grande",-68.843020326,-32.8844935095,1,"Parque Central",1655357.93265,0,0.886949342209846,1
11466,"Paraiso","06/01/2011 13:17","Alto (> 8 mts)",84,"Grande",-68.8434120802,-32.8628362064,4,"Cuarta Oeste",1173332.70145,0,0.927648015553132,1
29501,"Morera","18/02/2011 11:15","Medio (4 - 8 mts)",118,"Grande",-68.8449846702,-32.8920220205,2,"Barrio Civico",2366816.36021,0,0.65438144444488,1
48259,"Paraiso","02/09/2011 09:51","Medio (4 - 8 mts)",140,"Grande",-68.8303893492,-32.870707263,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.450987478718162,0
779,"Aguaribay","14/12/2011 10:42","Alto (> 8 mts)",130,"Grande",-68.879753211,-32.867546219,8,"Aeroparque",2203364.73622,0,0.941126808989793,1
41967,"Morera","20/04/2011 13:39","Alto (> 8 mts)",158,"Grande",-68.8375806959,-32.8788284425,1,"Parque Central",1655357.93265,0,0.355503350030631,0
47400,"Morera","23/09/2011 15:01","Alto (> 8 mts)",165,"Grande",-68.826287205,-32.8746383384,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.614777546608821,1
18612,"Morera","06/07/2011 11:41","Alto (> 8 mts)",190,"Grande",-68.8378098999,-32.8747254356,1,"Parque Central",1655357.93265,1,0.838518087286502,1
39036,"Fresno europeo","23/12/2010 14:15","Medio (4 - 8 mts)",55,"Mediano",-68.8541163831,-32.8712975864,6,"Residencial Norte",2694682.37982,0,0.977104804478586,1
30435,"Pltano","21/02/2011 10:09","Alto (> 8 mts)",220,"Grande",-68.841747168,-32.888014906,3,"Parque O'Higgins",1531146.02653,0,0.27945099119097,0
5887,"Braquiquito","11/04/2011 09:27","Alto (> 8 mts)",82,"Grande",-68.8435389159,-32.8817225081,1,"Parque Central",1655357.93265,0,0.723816605517641,1
18211,"Perenne","05/08/2011 12:09","Bajo (2 - 4 mts)",60,"Mediano",-68.8389038606,-32.86817601,4,"Cuarta Oeste",1173332.70145,0,0.866611602017656,1
37574,"Morera","16/11/2010 10:23","Medio (4 - 8 mts)",88,"Grande",-68.8571298881,-32.8704296668,6,"Residencial Norte",2694682.37982,0,0.200776676414534,0
42806,"Morera","07/10/2011 17:39","Alto (> 8 mts)",196,"Grande",-68.831444646,-32.8776830187,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.0144206313416362,0
1710,"Paraiso","24/11/2011 12:07","Alto (> 8 mts)",130,"Grande",-68.8722715565,-32.8789341617,7,"Residencial Parque",1786336.08966,0,0.671535670291632,1
14288,"Jacarand","06/12/2011 10:26","Medio (4 - 8 mts)",80,"Grande",-68.8773420069,-32.868716383,8,"Aeroparque",2203364.73622,0,0.26040402892977,0
27189,"Pltano","26/10/2011 12:36","Alto (> 8 mts)",176,"Grande",-68.8357123129,-32.8909041683,3,"Parque O'Higgins",1531146.02653,1,0.412011839216575,0
3286,"Morera","30/09/2011 11:22","Medio (4 - 8 mts)",52,"Mediano",-68.827974646,-32.8769531016,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.555456855800003,1
46696,"Jacarand","05/09/2011 10:21","Bajo (2 - 4 mts)",20,"Chico",-68.8326095605,-32.8697191501,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.713403078494594,1
10570,"Paraiso sombrilla","23/03/2011 10:57","Medio (4 - 8 mts)",144,"Grande",-68.8550153569,-32.8759148787,6,"Residencial Norte",2694682.37982,0,0.0352867683395743,0
43615,"Pltano","13/10/2011 08:24","Alto (> 8 mts)",168,"Grande",-68.8338603427,-32.8830878338,3,"Parque O'Higgins",1531146.02653,0,0.108218505745754,0
39996,"Acer","20/04/2011 13:00","Bajo (2 - 4 mts)",40,"Mediano",-68.8440681397,-32.8775417767,1,"Parque Central",1655357.93265,0,0.969814678654075,1
46604,"Morera","05/09/2011 10:13","Alto (> 8 mts)",168,"Grande",-68.831793562,-32.8687683632,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.725810406263918,1
10586,"Paraiso sombrilla","29/03/2011 13:03","Bajo (2 - 4 mts)",15,"Chico",-68.8525294755,-32.8764806384,6,"Residencial Norte",2694682.37982,0,0.462391503388062,0
22064,"Pltano","10/06/2011 12:31","Alto (> 8 mts)",200,"Grande",-68.8539105223,-32.8979777953,5,"Residencial Sur",2423808.92355,0,0.781872755149379,1
15346,"Paraiso","16/11/2011 12:54","Medio (4 - 8 mts)",125,"Grande",-68.8600557615,-32.8702719334,6,"Residencial Norte",2694682.37982,1,0.117687877267599,0
4964,"Morera","15/07/2011 10:40","Alto (> 8 mts)",180,"Grande",-68.8447173991,-32.8701965232,4,"Cuarta Oeste",1173332.70145,0,0.965651745442301,1
30157,"Pltano","31/03/2011 15:00","Alto (> 8 mts)",98,"Grande",-68.8399864795,-32.8873941682,3,"Parque O'Higgins",1531146.02653,0,0.394823046168312,0
20894,"Jacarand","27/05/2011 09:41","Muy bajo (1 - 2 mts)",8,"Chico",-68.8614598196,-32.8955895129,5,"Residencial Sur",2423808.92355,0,0.940537942340598,1
46838,"Pltano","16/09/2011 07:58","Alto (> 8 mts)",280,"Grande",-68.8343135268,-32.8717625475,4,"Cuarta Oeste",1173332.70145,1,0.309917215490714,0
8800,"Morera","02/02/2011 09:48","Medio (4 - 8 mts)",60,"Mediano",-68.8546787198,-32.8688581886,6,"Residencial Norte",2694682.37982,0,0.103768250439316,0
29877,"Pltano","11/03/2011 12:54","Alto (> 8 mts)",185,"Grande",-68.8422131934,-32.8914199575,2,"Barrio Civico",2366816.36021,0,0.178754636319354,0
8181,"Fresno europeo","11/03/2011 12:42","Bajo (2 - 4 mts)",12,"Chico",-68.8421167023,-32.8913738206,2,"Barrio Civico",2366816.36021,0,0.082051593111828,0
27782,"Pltano","03/11/2011 10:27","Alto (> 8 mts)",110,"Grande",-68.8351517197,-32.8943303505,3,"Parque O'Higgins",1531146.02653,0,0.647635845700279,1
40983,"Morera","14/04/2011 09:46","Alto (> 8 mts)",198,"Grande",-68.8385078317,-32.8809957798,1,"Parque Central",1655357.93265,1,0.370867477264255,0
23580,"Morera","24/01/2011 09:11","Alto (> 8 mts)",170,"Grande",-68.8511939848,-32.9022684407,2,"Barrio Civico",2366816.36021,0,0.58726707752794,1
33160,"Pltano","09/06/2011 08:55","Alto (> 8 mts)",165,"Grande",-68.8530385942,-32.8915582665,5,"Residencial Sur",2423808.92355,0,0.385910792741925,0
13946,"Paraiso sombrilla","29/11/2011 13:09","Medio (4 - 8 mts)",95,"Grande",-68.87634737,-32.8652874827,8,"Aeroparque",2203364.73622,0,0.746380007825792,1
38655,"Paraiso","16/12/2010 11:11","Alto (> 8 mts)",250,"Grande",-68.8513008551,-32.870418982,6,"Residencial Norte",2694682.37982,0,0.411695197224617,0
42477,"Pltano","30/09/2011 12:52","Alto (> 8 mts)",220,"Grande",-68.8311518148,-32.8764929542,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.402742758858949,0
30643,"Morera","01/02/2011 13:15","Bajo (2 - 4 mts)",40,"Mediano",-68.8546069079,-32.8673822092,6,"Residencial Norte",2694682.37982,0,0.774146950570866,1
22648,"Fresno americano","21/06/2011 11:41","Bajo (2 - 4 mts)",40,"Mediano",-68.8599596775,-32.901146584,5,"Residencial Sur",2423808.92355,0,0.578715777723119,1
24132,"Fresno europeo","25/01/2011 13:34","Medio (4 - 8 mts)",120,"Grande",-68.8464460965,-32.9022350181,2,"Barrio Civico",2366816.36021,0,0.106227363226935,0
8654,"Morera","04/02/2011 09:09","Alto (> 8 mts)",80,"Grande",-68.8414565108,-32.9024996548,2,"Barrio Civico",2366816.36021,0,0.881072056945413,1
30865,"Fresno europeo","15/02/2011 12:59","Medio (4 - 8 mts)",40,"Mediano",-68.8555543694,-32.8656332211,6,"Residencial Norte",2694682.37982,0,0.59283927292563,1
33029,"Morera","19/05/2011 10:26","Alto (> 8 mts)",184,"Grande",-68.8515514337,-32.8873039523,5,"Residencial Sur",2423808.92355,1,0.856096182018518,1
46325,"Morera","27/09/2011 13:26","Alto (> 8 mts)",185,"Grande",-68.8235245234,-32.8738103234,4,"Cuarta Este Área Fundacional",1822015.85685,1,0.377067965222523,0
36830,"Pltano","07/04/2011 11:37","Alto (> 8 mts)",180,"Grande",-68.8588781428,-32.8802957226,7,"Residencial Parque",1786336.08966,1,0.982316019712016,1
47994,"Morera","31/08/2011 09:36","Alto (> 8 mts)",135,"Grande",-68.8257777537,-32.8695965305,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.430406063329428,0
31977,"Fresno europeo","02/06/2011 12:43","Bajo (2 - 4 mts)",70,"Grande",-68.8589683105,-32.8836739358,5,"Residencial Sur",2423808.92355,0,0.149396699853241,0
39760,"Fresno europeo","13/07/2011 13:51","Alto (> 8 mts)",143,"Grande",-68.8499579129,-32.8831310095,1,"Parque Central",1655357.93265,0,0.0590002161916345,0
9311,"Morera","16/02/2011 12:57","Medio (4 - 8 mts)",64,"Grande",-68.8462572623,-32.8661071955,4,"Cuarta Oeste",1173332.70145,0,0.943997722119093,1
11203,"Acer","24/01/2011 08:56","Medio (4 - 8 mts)",82,"Grande",-68.845786822,-32.901969036,2,"Barrio Civico",2366816.36021,0,0.621272141346708,1
21712,"Fresno europeo","09/06/2011 11:19","Alto (> 8 mts)",103,"Grande",-68.8559728968,-32.8958162202,5,"Residencial Sur",2423808.92355,1,0.3373921320308,0
12788,"Fresno americano","21/01/2011 13:36","Alto (> 8 mts)",110,"Grande",-68.8479956203,-32.8635473376,4,"Cuarta Oeste",1173332.70145,0,0.828503639204428,1
45115,"Morera","31/08/2011 15:53","Alto (> 8 mts)",160,"Grande",-68.8257481835,-32.8705115284,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.659330583410338,1
17182,"Olmo comun","04/07/2011 10:47","Alto (> 8 mts)",150,"Grande",-68.8362830945,-32.8632442247,4,"Cuarta Oeste",1173332.70145,0,0.427063724724576,0
31546,"Pltano","18/05/2011 10:11","Alto (> 8 mts)",170,"Grande",-68.8597325006,-32.8903236933,5,"Residencial Sur",2423808.92355,0,0.187872804701328,0
14368,"Fresno europeo","30/11/2011 11:49","Bajo (2 - 4 mts)",40,"Mediano",-68.8782484506,-32.8658046816,8,"Aeroparque",2203364.73622,0,0.841970980167389,1
11529,"Fresno europeo","23/02/2011 09:25","Medio (4 - 8 mts)",35,"Mediano",-68.853146036,-32.8661462167,6,"Residencial Norte",2694682.37982,0,0.234890552004799,0
28957,"Pltano","25/04/2011 12:33","Alto (> 8 mts)",180,"Grande",-68.8450016373,-32.886082959,1,"Parque Central",1655357.93265,0,0.267048157285899,0
19288,"Perenne","13/07/2011 21:04","Muy bajo (1 - 2 mts)",10,"Chico",-68.8359246393,-32.869867594,4,"Cuarta Oeste",1173332.70145,0,0.552241967292503,1
11227,"Fresno americano","14/01/2011 14:34","Alto (> 8 mts)",80,"Grande",-68.8453740951,-32.8998027408,2,"Barrio Civico",2366816.36021,0,0.296446394408122,0
26944,"Fresno europeo","01/11/2011 17:10","Medio (4 - 8 mts)",140,"Grande",-68.8362821731,-32.887457483,3,"Parque O'Higgins",1531146.02653,0,0.724402009043843,1
36555,"Fresno europeo","07/06/2011 12:51","Medio (4 - 8 mts)",90,"Grande",-68.8575937656,-32.8835456958,5,"Residencial Sur",2423808.92355,1,0.205671538133174,0
